,helpfulness
0,helpful
1,helpful
2,helpful
3,helpful
4,helpful
5,helpful
6,helpful
7,helpful
8,helpful
9,helpful
10,helpful
11,helpful
12,helpful
13,helpful
14,helpful
15,helpful
16,helpful
17,helpful
18,helpful
19,helpful
21,helpful
22,helpful
24,helpful
25,helpful
26,helpful
27,helpful
28,helpful
29,helpful
30,helpful
31,helpful
32,helpful
33,helpful
34,helpful
35,helpful
36,helpful
37,helpful
38,helpful
39,helpful
40,helpful
41,helpful
42,helpful
43,helpful
44,helpful
45,helpful
46,helpful
47,helpful
48,helpful
49,helpful
50,helpful
51,helpful
52,helpful
53,helpful
54,helpful
55,helpful
56,helpful
57,helpful
58,helpful
59,helpful
60,helpful
61,helpful
62,helpful
63,helpful
64,helpful
66,helpful
68,helpful
69,helpful
70,helpful
71,helpful
72,helpful
73,helpful
74,helpful
75,helpful
76,helpful
77,helpful
78,helpful
80,helpful
81,helpful
83,helpful
84,helpful
85,helpful
86,helpful
87,helpful
88,helpful
89,helpful
90,helpful
91,helpful
92,helpful
93,helpful
94,helpful
95,helpful
96,helpful
97,helpful
99,helpful
100,helpful
101,helpful
102,helpful
105,helpful
106,helpful
107,helpful
108,helpful
109,helpful
110,helpful
111,helpful
112,helpful
113,helpful
114,helpful
115,helpful
116,helpful
117,helpful
118,helpful
119,helpful
120,helpful
121,helpful
122,helpful
123,helpful
124,helpful
125,helpful
126,helpful
127,helpful
128,helpful
129,helpful
130,helpful
131,helpful
132,helpful
133,helpful
134,helpful
135,helpful
136,helpful
137,helpful
139,helpful
140,helpful
141,helpful
142,helpful
143,helpful
144,helpful
145,helpful
146,helpful
147,helpful
148,helpful
149,helpful
150,helpful
151,helpful
152,helpful
153,helpful
154,helpful
155,helpful
156,helpful
157,helpful
158,helpful
159,helpful
160,helpful
161,helpful
162,helpful
163,helpful
164,helpful
165,helpful
166,helpful
167,helpful
168,helpful
169,helpful
170,helpful
171,helpful
172,helpful
173,helpful
174,helpful
175,helpful
176,helpful
177,helpful
178,helpful
179,helpful
180,helpful
181,helpful
182,helpful
183,helpful
184,helpful
185,helpful
186,helpful
187,helpful
188,helpful
189,helpful
190,helpful
191,helpful
192,helpful
193,helpful
194,helpful
195,helpful
196,helpful
197,helpful
198,helpful
199,helpful
200,helpful
201,helpful
202,helpful
203,helpful
204,helpful
205,helpful
206,helpful
207,helpful
208,helpful
209,helpful
210,helpful
211,helpful
212,helpful
213,helpful
214,helpful
215,helpful
216,helpful
217,helpful
218,helpful
219,helpful
220,helpful
221,helpful
222,helpful
223,helpful
224,helpful
225,helpful
226,helpful
227,helpful
228,helpful
229,helpful
230,helpful
231,helpful
232,helpful
233,helpful
234,helpful
235,helpful
236,helpful
237,helpful
238,helpful
239,helpful
240,helpful
241,helpful
242,helpful
243,helpful
244,helpful
245,helpful
246,helpful
247,helpful
248,helpful
249,helpful
250,helpful
251,helpful
252,helpful
253,helpful
254,helpful
255,helpful
256,helpful
257,helpful
258,helpful
259,helpful
260,helpful
261,helpful
262,helpful
263,helpful
264,helpful
265,helpful
266,helpful
267,helpful
268,helpful
269,helpful
270,helpful
271,helpful
272,helpful
273,helpful
274,helpful
275,helpful
276,helpful
277,helpful
278,helpful
279,helpful
280,helpful
281,helpful
282,helpful
283,helpful
284,helpful
285,helpful
286,helpful
287,helpful
288,helpful
289,helpful
290,helpful
291,helpful
292,helpful
293,helpful
294,helpful
295,helpful
296,helpful
297,helpful
298,helpful
299,helpful
300,helpful
301,helpful
302,helpful
303,helpful
304,helpful
305,helpful
306,helpful
307,helpful
308,helpful
309,helpful
310,helpful
311,helpful
312,helpful
313,helpful
314,helpful
315,helpful
316,helpful
317,helpful
318,helpful
319,helpful
320,helpful
321,helpful
322,helpful
323,helpful
324,helpful
325,helpful
326,helpful
327,helpful
328,helpful
329,helpful
330,helpful
331,helpful
332,helpful
333,helpful
334,helpful
335,helpful
336,helpful
337,helpful
338,helpful
339,helpful
340,helpful
341,helpful
342,helpful
343,helpful
344,helpful
345,helpful
346,helpful
347,helpful
348,helpful
349,helpful
350,helpful
351,helpful
352,helpful
353,helpful
354,helpful
355,helpful
356,helpful
357,helpful
358,helpful
359,helpful
360,helpful
361,helpful
362,helpful
363,helpful
364,helpful
365,helpful
366,helpful
367,helpful
368,helpful
369,helpful
370,helpful
371,helpful
372,helpful
373,helpful
374,helpful
375,helpful
376,helpful
377,helpful
378,helpful
379,helpful
380,helpful
381,helpful
382,helpful
383,helpful
384,helpful
385,helpful
386,helpful
387,helpful
388,helpful
389,helpful
390,helpful
391,helpful
392,helpful
393,helpful
394,helpful
395,helpful
396,helpful
397,helpful
398,helpful
399,helpful
400,helpful
401,helpful
402,helpful
403,helpful
404,helpful
405,helpful
406,helpful
407,helpful
408,helpful
409,helpful
410,helpful
411,helpful
412,helpful
413,helpful
414,helpful
415,helpful
416,helpful
417,helpful
418,helpful
419,helpful
420,helpful
421,helpful
422,helpful
423,helpful
424,helpful
425,helpful
426,helpful
427,helpful
428,helpful
429,helpful
430,helpful
431,helpful
432,helpful
433,helpful
434,helpful
435,helpful
436,helpful
437,helpful
438,helpful
439,helpful
440,helpful
441,helpful
442,helpful
443,helpful
444,helpful
445,helpful
446,helpful
447,helpful
448,helpful
449,helpful
450,helpful
451,helpful
452,helpful
453,helpful
454,helpful
455,helpful
456,helpful
457,helpful
458,helpful
459,helpful
460,helpful
461,helpful
462,helpful
463,helpful
464,helpful
465,helpful
466,helpful
467,helpful
468,helpful
469,helpful
470,helpful
471,helpful
472,helpful
473,helpful
474,helpful
475,helpful
476,helpful
477,helpful
478,helpful
479,helpful
480,helpful
481,helpful
482,helpful
483,helpful
484,helpful
485,helpful
486,helpful
487,helpful
488,helpful
489,helpful
490,helpful
491,helpful
493,helpful
494,helpful
495,helpful
496,helpful
497,helpful
498,helpful
499,helpful
500,helpful
501,helpful
502,helpful
503,helpful
504,helpful
505,helpful
506,helpful
507,helpful
508,helpful
509,helpful
510,helpful
511,helpful
512,helpful
513,helpful
514,helpful
515,helpful
516,helpful
517,helpful
518,helpful
519,helpful
520,helpful
521,helpful
522,helpful
523,helpful
524,helpful
525,helpful
526,helpful
527,helpful
528,helpful
529,helpful
530,helpful
532,helpful
533,helpful
534,helpful
535,helpful
536,helpful
537,helpful
538,helpful
539,helpful
540,helpful
541,helpful
542,helpful
543,helpful
544,helpful
545,helpful
546,helpful
547,helpful
548,helpful
549,helpful
550,helpful
551,helpful
552,helpful
553,helpful
554,helpful
555,helpful
556,helpful
557,helpful
558,helpful
559,helpful
560,helpful
561,helpful
562,helpful
563,helpful
564,helpful
565,helpful
566,helpful
567,helpful
568,helpful
569,helpful
570,helpful
571,helpful
572,helpful
573,helpful
574,helpful
575,helpful
576,helpful
577,helpful
578,helpful
579,helpful
580,helpful
581,helpful
582,helpful
583,helpful
584,helpful
585,helpful
587,helpful
588,helpful
589,helpful
590,helpful
591,helpful
592,helpful
593,helpful
594,helpful
595,helpful
596,helpful
597,helpful
598,helpful
599,helpful
600,helpful
601,helpful
602,helpful
603,helpful
604,helpful
605,helpful
606,helpful
607,helpful
608,helpful
609,helpful
610,helpful
611,helpful
612,helpful
613,helpful
614,helpful
615,helpful
616,helpful
617,helpful
618,helpful
619,helpful
620,helpful
621,helpful
622,helpful
623,helpful
624,helpful
625,helpful
626,helpful
627,helpful
628,helpful
629,helpful
630,helpful
631,helpful
632,helpful
633,helpful
634,helpful
635,helpful
637,helpful
638,helpful
639,helpful
640,helpful
641,helpful
642,helpful
643,helpful
645,helpful
646,helpful
647,helpful
648,helpful
649,helpful
650,helpful
651,helpful
652,helpful
653,helpful
654,helpful
655,helpful
20,not_helpful
23,not_helpful
65,not_helpful
67,not_helpful
79,not_helpful
82,not_helpful
98,not_helpful
103,not_helpful
104,not_helpful
138,not_helpful
492,not_helpful
531,not_helpful
586,not_helpful
636,not_helpful
644,not_helpful
659,not_helpful
676,not_helpful
691,not_helpful
706,not_helpful
728,not_helpful
782,not_helpful
783,not_helpful
788,not_helpful
796,not_helpful
802,not_helpful
806,not_helpful
812,not_helpful
821,not_helpful
822,not_helpful
824,not_helpful
825,not_helpful
828,not_helpful
829,not_helpful
830,not_helpful
832,not_helpful
835,not_helpful
842,not_helpful
844,not_helpful
847,not_helpful
851,not_helpful
852,not_helpful
854,not_helpful
857,not_helpful
861,not_helpful
867,not_helpful
877,not_helpful
881,not_helpful
882,not_helpful
905,not_helpful
910,not_helpful
911,not_helpful
915,not_helpful
918,not_helpful
924,not_helpful
931,not_helpful
936,not_helpful
939,not_helpful
940,not_helpful
950,not_helpful
951,not_helpful
952,not_helpful
954,not_helpful
956,not_helpful
958,not_helpful
960,not_helpful
967,not_helpful
988,not_helpful
994,not_helpful
996,not_helpful
1003,not_helpful
1005,not_helpful
1006,not_helpful
1007,not_helpful
1011,not_helpful
1013,not_helpful
1023,not_helpful
1024,not_helpful
1025,not_helpful
1026,not_helpful
1029,not_helpful
1030,not_helpful
1031,not_helpful
1036,not_helpful
1037,not_helpful
1038,not_helpful
1039,not_helpful
1041,not_helpful
1042,not_helpful
1047,not_helpful
1048,not_helpful
1049,not_helpful
1053,not_helpful
1054,not_helpful
1057,not_helpful
1058,not_helpful
1059,not_helpful
1060,not_helpful
1061,not_helpful
1062,not_helpful
1064,not_helpful
1065,not_helpful
1067,not_helpful
1069,not_helpful
1070,not_helpful
1073,not_helpful
1075,not_helpful
1078,not_helpful
1079,not_helpful
1080,not_helpful
1082,not_helpful
1083,not_helpful
1084,not_helpful
1086,not_helpful
1089,not_helpful
1092,not_helpful
1095,not_helpful
1099,not_helpful
1100,not_helpful
1101,not_helpful
1103,not_helpful
1104,not_helpful
1106,not_helpful
1108,not_helpful
1110,not_helpful
1134,not_helpful
1135,not_helpful
1145,not_helpful
1153,not_helpful
1202,not_helpful
1208,not_helpful
1219,not_helpful
1244,not_helpful
1245,not_helpful
1250,not_helpful
1251,not_helpful
1252,not_helpful
1255,not_helpful
1256,not_helpful
1257,not_helpful
1258,not_helpful
1259,not_helpful
1260,not_helpful
1262,not_helpful
1265,not_helpful
1267,not_helpful
1268,not_helpful
1280,not_helpful
1281,not_helpful
1283,not_helpful
1284,not_helpful
1291,not_helpful
1292,not_helpful
1293,not_helpful
1294,not_helpful
1295,not_helpful
1296,not_helpful
1299,not_helpful
1300,not_helpful
1308,not_helpful
1309,not_helpful
1311,not_helpful
1315,not_helpful
1317,not_helpful
1318,not_helpful
1320,not_helpful
1323,not_helpful
1338,not_helpful
1351,not_helpful
1355,not_helpful
1367,not_helpful
1371,not_helpful
1376,not_helpful
1392,not_helpful
1402,not_helpful
1416,not_helpful
1422,not_helpful
1425,not_helpful
1436,not_helpful
1446,not_helpful
1457,not_helpful
1462,not_helpful
1473,not_helpful
1494,not_helpful
1518,not_helpful
1532,not_helpful
1534,not_helpful
1539,not_helpful
1541,not_helpful
1542,not_helpful
1543,not_helpful
1544,not_helpful
1545,not_helpful
1546,not_helpful
1547,not_helpful
1548,not_helpful
1549,not_helpful
1551,not_helpful
1552,not_helpful
1555,not_helpful
1557,not_helpful
1560,not_helpful
1561,not_helpful
1562,not_helpful
1563,not_helpful
1565,not_helpful
1568,not_helpful
1571,not_helpful
1575,not_helpful
1580,not_helpful
1583,not_helpful
1586,not_helpful
1587,not_helpful
1588,not_helpful
1589,not_helpful
1591,not_helpful
1592,not_helpful
1601,not_helpful
1603,not_helpful
1604,not_helpful
1605,not_helpful
1606,not_helpful
1607,not_helpful
1608,not_helpful
1613,not_helpful
1616,not_helpful
1617,not_helpful
1618,not_helpful
1619,not_helpful
1621,not_helpful
1623,not_helpful
1625,not_helpful
1626,not_helpful
1627,not_helpful
1635,not_helpful
1636,not_helpful
1640,not_helpful
1641,not_helpful
1642,not_helpful
1646,not_helpful
1649,not_helpful
1652,not_helpful
1654,not_helpful
1657,not_helpful
1659,not_helpful
1660,not_helpful
1661,not_helpful
1663,not_helpful
1666,not_helpful
1668,not_helpful
1674,not_helpful
1677,not_helpful
1679,not_helpful
1682,not_helpful
1692,not_helpful
1695,not_helpful
1697,not_helpful
1698,not_helpful
1702,not_helpful
1703,not_helpful
1704,not_helpful
1705,not_helpful
1710,not_helpful
1713,not_helpful
1718,not_helpful
1721,not_helpful
1722,not_helpful
1723,not_helpful
1727,not_helpful
1729,not_helpful
1730,not_helpful
1731,not_helpful
1732,not_helpful
1733,not_helpful
1734,not_helpful
1735,not_helpful
1736,not_helpful
1738,not_helpful
1739,not_helpful
1741,not_helpful
1742,not_helpful
1743,not_helpful
1745,not_helpful
1746,not_helpful
1747,not_helpful
1748,not_helpful
1749,not_helpful
1751,not_helpful
1752,not_helpful
1754,not_helpful
1755,not_helpful
1756,not_helpful
1761,not_helpful
1764,not_helpful
1766,not_helpful
1767,not_helpful
1768,not_helpful
1771,not_helpful
1772,not_helpful
1773,not_helpful
1774,not_helpful
1777,not_helpful
1778,not_helpful
1780,not_helpful
1782,not_helpful
1783,not_helpful
1784,not_helpful
1785,not_helpful
1787,not_helpful
1788,not_helpful
1790,not_helpful
1791,not_helpful
1792,not_helpful
1793,not_helpful
1795,not_helpful
1796,not_helpful
1797,not_helpful
1798,not_helpful
1799,not_helpful
1800,not_helpful
1801,not_helpful
1802,not_helpful
1803,not_helpful
1805,not_helpful
1807,not_helpful
1808,not_helpful
1809,not_helpful
1815,not_helpful
1816,not_helpful
1820,not_helpful
1821,not_helpful
1823,not_helpful
1826,not_helpful
1828,not_helpful
1829,not_helpful
1830,not_helpful
1831,not_helpful
1834,not_helpful
1836,not_helpful
1838,not_helpful
1840,not_helpful
1841,not_helpful
1844,not_helpful
1845,not_helpful
1846,not_helpful
1847,not_helpful
1850,not_helpful
1852,not_helpful
1854,not_helpful
1857,not_helpful
1858,not_helpful
1859,not_helpful
1860,not_helpful
1862,not_helpful
1863,not_helpful
1864,not_helpful
1865,not_helpful
1866,not_helpful
1867,not_helpful
1869,not_helpful
1870,not_helpful
1871,not_helpful
1872,not_helpful
1873,not_helpful
1874,not_helpful
1875,not_helpful
1876,not_helpful
1877,not_helpful
1880,not_helpful
1881,not_helpful
1883,not_helpful
1884,not_helpful
1885,not_helpful
1886,not_helpful
1888,not_helpful
1889,not_helpful
1890,not_helpful
1892,not_helpful
1895,not_helpful
1896,not_helpful
1897,not_helpful
1898,not_helpful
1899,not_helpful
1901,not_helpful
1902,not_helpful
1905,not_helpful
1907,not_helpful
1908,not_helpful
1909,not_helpful
1914,not_helpful
1915,not_helpful
1916,not_helpful
1917,not_helpful
1918,not_helpful
1925,not_helpful
1929,not_helpful
1932,not_helpful
1938,not_helpful
1946,not_helpful
1950,not_helpful
1954,not_helpful
1956,not_helpful
1958,not_helpful
1960,not_helpful
1962,not_helpful
1963,not_helpful
1964,not_helpful
1965,not_helpful
1967,not_helpful
1968,not_helpful
1969,not_helpful
1971,not_helpful
1973,not_helpful
1974,not_helpful
1975,not_helpful
1977,not_helpful
1979,not_helpful
1980,not_helpful
1982,not_helpful
1983,not_helpful
1987,not_helpful
1992,not_helpful
1993,not_helpful
1995,not_helpful
1997,not_helpful
2001,not_helpful
2003,not_helpful
2004,not_helpful
2005,not_helpful
2007,not_helpful
2015,not_helpful
2021,not_helpful
2024,not_helpful
2025,not_helpful
2026,not_helpful
2028,not_helpful
2032,not_helpful
2037,not_helpful
2043,not_helpful
2058,not_helpful
2077,not_helpful
2080,not_helpful
2083,not_helpful
2086,not_helpful
2088,not_helpful
2090,not_helpful
2091,not_helpful
2097,not_helpful
2099,not_helpful
2103,not_helpful
2104,not_helpful
2105,not_helpful
2139,not_helpful
2157,not_helpful
2184,not_helpful
2226,not_helpful
2229,not_helpful
2243,not_helpful
2244,not_helpful
2250,not_helpful
2258,not_helpful
2260,not_helpful
2269,not_helpful
2278,not_helpful
2279,not_helpful
2310,not_helpful
2312,not_helpful
2316,not_helpful
2323,not_helpful
2325,not_helpful
2330,not_helpful
2338,not_helpful
2340,not_helpful
2345,not_helpful
2347,not_helpful
2356,not_helpful
2366,not_helpful
2368,not_helpful
2381,not_helpful
2384,not_helpful
2386,not_helpful
2393,not_helpful
2410,not_helpful
2420,not_helpful
2443,not_helpful
2444,not_helpful
2446,not_helpful
2451,not_helpful
2457,not_helpful
2458,not_helpful
2469,not_helpful
2473,not_helpful
2480,not_helpful
2486,not_helpful
2487,not_helpful
2488,not_helpful
2492,not_helpful
2493,not_helpful
2499,not_helpful
2500,not_helpful
2501,not_helpful
2505,not_helpful
2508,not_helpful
2510,not_helpful
2511,not_helpful
2512,not_helpful
2515,not_helpful
2516,not_helpful
2517,not_helpful
2520,not_helpful
2523,not_helpful
2524,not_helpful
2525,not_helpful
2528,not_helpful
2529,not_helpful
2531,not_helpful
2533,not_helpful
2534,not_helpful
2538,not_helpful
2543,not_helpful
2545,not_helpful
2549,not_helpful
2550,not_helpful
2551,not_helpful
2555,not_helpful
2557,not_helpful
2560,not_helpful
2564,not_helpful
2565,not_helpful
2566,not_helpful
2567,not_helpful
2572,not_helpful
2579,not_helpful
2590,not_helpful
2591,not_helpful
2593,not_helpful
2594,not_helpful
2597,not_helpful
2598,not_helpful
2601,not_helpful
2605,not_helpful
2607,not_helpful
2608,not_helpful
2610,not_helpful
2611,not_helpful
2612,not_helpful
2613,not_helpful
2614,not_helpful
2615,not_helpful
2616,not_helpful
2618,not_helpful
2619,not_helpful
2623,not_helpful
2624,not_helpful
2625,not_helpful
2627,not_helpful
2635,not_helpful
2636,not_helpful
2638,not_helpful
2641,not_helpful
2644,not_helpful
2646,not_helpful
2647,not_helpful
2648,not_helpful
2649,not_helpful
2650,not_helpful
2653,not_helpful
2660,not_helpful
2662,not_helpful
2667,not_helpful
2668,not_helpful
2671,not_helpful
2672,not_helpful
2673,not_helpful
2675,not_helpful
2678,not_helpful
2679,not_helpful
2680,not_helpful
2686,not_helpful
2688,not_helpful
2690,not_helpful
2691,not_helpful
2692,not_helpful
2693,not_helpful
2694,not_helpful
2695,not_helpful
2699,not_helpful
2707,not_helpful
2709,not_helpful
2710,not_helpful
2711,not_helpful
2712,not_helpful
2713,not_helpful
2716,not_helpful
2717,not_helpful
2718,not_helpful
2723,not_helpful
2726,not_helpful
2729,not_helpful
2730,not_helpful
2732,not_helpful
2734,not_helpful
2735,not_helpful
2737,not_helpful
2738,not_helpful
2739,not_helpful
2740,not_helpful
2741,not_helpful
2742,not_helpful
2743,not_helpful
2744,not_helpful
2745,not_helpful
2746,not_helpful
2747,not_helpful
2749,not_helpful
2750,not_helpful
2751,not_helpful
2752,not_helpful
2753,not_helpful
2754,not_helpful
2755,not_helpful
2757,not_helpful
2758,not_helpful
2759,not_helpful
2760,not_helpful
2762,not_helpful
2764,not_helpful
2765,not_helpful
2766,not_helpful
2767,not_helpful
2768,not_helpful
2769,not_helpful
2770,not_helpful
2771,not_helpful
2772,not_helpful
2774,not_helpful
2775,not_helpful
2776,not_helpful
2778,not_helpful
2779,not_helpful
2780,not_helpful
2782,not_helpful
